
Dinámica,Artículo,Municipio,BARRIO_1,COMUNA,x,y,Sitio,Año_Hecho,Mes_Hecho,Día_Hecho,Fecha_Hecho,Día_Semana_Hecho,Hora_Hecho,Tipo_Noticia,NIVEL_SEVERIDAD
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Calimio Desepaz,21,-76.467888,3.411832,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,04:20,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,El Retiro,15,-76.498619,3.410582,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,14:33,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Rural,Rural,-76.54028,3.481166,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,11:30,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,El Retiro,15,-76.49827,3.410755,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,04:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES DOLOSAS CON PERTURBACIÓN FUNCIONAL TRANSITORIA ART. 114 INC. 1 DEL C.P,CALI,La Selva,10,-76.52739,3.41287,EDIFICIO,2023,enero     ,1,1/1/2023,1,16:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,El Rodeo,12,-76.504768,3.435879,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,02:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Compartir,21,-76.467047,3.430821,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,15:30,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Charco Azul,13,-76.485788,3.44172,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,10:30,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Lleras Camargo,20,-76.561554,3.421588,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,05:30,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Calimio Desepaz,21,-76.467888,3.411832,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,09:20,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,El Retiro,15,-76.499326,3.410244,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,06:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Bolivariano,04,-76.514567,3.467898,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,09:30,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,El Verdal - Gonchelandia,81,-76.517956,3.358779,VIA PUBLICA,2023,enero     ,1,1/1/2023,1,06:30,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Calimio Desepaz,21,-76.467888,3.411832,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,14:30,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Terrón Colorado,01,-76.562497,3.452497,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,09:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Barrio Obrero,09,-76.520371,3.448047,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,01:20,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Guayaquil,09,-76.526282,3.437742,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,16:16,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Manuela Beltrán,14,-76.470559,3.422836,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,06:30,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,San Nicolás,03,-76.527998,3.455562,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,09:52,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,Desepaz Invicali,21,-76.463781,3.425731,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,19:00,DENUNCIA,Nivel 3
LESIONES PERSONALES,LESIONES ART. 111 C.P.,CALI,Potrero Grande,21,-76.470922,3.407371,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,16:00,DENUNCIA,Nivel 2
LESIONES PERSONALES,LESIONES PERSONALES CON DEFORMIDAD FISICA PERMANENTE ART. 113 C.P.INCISO 2,CALI,La Sultana,20,-76.56418,3.423169,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,07:00,DENUNCIA,Nivel 3
