tipo de hurto,artículo,modalidad,nivel_severidad,modo,municipio,barrio_1,comuna,x,y,sitio,año_hecho,mes_hecho,día_hecho,día_semana_hecho,hora_hecho,extra_moda,tipo_noticia,categoria,tipo_delito,archivo_fuente,no,semana,barrioplaneacion,com,tipo_de_arma,ocupacion,sexo,edad,horah,fechao,fechah,diasem,jornadarh8,fh8,diasanio,estado_civil,escolaridad,tipo_violencia,feminicidios,procedimientofuerzapublica,poblacion_lgbtq,estratoplaneacion,dinámica,fecha_hecho,nivel_agrupado,peso_severidad,puntaje_individual,geometry
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,octubre   ,6.0,6.0,05:15,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,octubre   ,7.0,7.0,03:10,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.526464,3.433963,CAJERO ELECTRONICO,2023.0,diciembre ,8.0,6.0,08:00,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727786.8142251519 871828.6878459711)
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,septiembre,8.0,6.0,15:15,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,noviembre ,7.0,3.0,21:00,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A PERSONAS,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SUSTANCIA TÓXICA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,octubre   ,6.0,6.0,19:00,3.0,DENUNCIA,Hurto,HURTO A PERSONAS,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A CELULARES,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SIN ARMA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,septiembre,7.0,5.0,18:30,3.0,DENUNCIA,Hurto,HURTO A CELULARES,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A CELULARES,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SIN ARMA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,abril     ,10.0,2.0,14:30,3.0,DENUNCIA,Hurto,HURTO A CELULARES,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A CELULARES,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SIN ARMA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,septiembre,29.0,6.0,18:30,3.0,DENUNCIA,Hurto,HURTO A CELULARES,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
HURTO A CELULARES,HURTO CALIFICADO. ART. 240 C.P.,ATRACO,Nivel 1,SIN ARMA,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023.0,septiembre,14.0,5.0,15:30,3.0,DENUNCIA,Hurto,HURTO A CELULARES,Hurtos_fiscalia.csv,,,,,,,,,,,,,,,,,,,,,,,,,Nivel 1,1,1,POINT (727788.3875014762 871834.9925767926)
