Dinámica,Artículo,Municipio,BARRIO_1,COMUNA,x,y,Sitio,Año_Hecho,Mes_Hecho,Día_Hecho,Fecha_Hecho,Día_Semana_Hecho,Hora_Hecho,Tipo_Noticia,NIVEL_SEVERIDAD
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Urbanización La Merced,02,-76.512672,3.478067,SIN INFORMACION,2023,enero     ,1,1/1/2023,1,09:30,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Villa del Sol,05,-76.495051,3.481017,SIN INFORMACION,2023,enero     ,2,1/2/2023,2,15:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Centenario,02,-76.536467,3.454136,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,15:19,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,El Morichal,15,-76.508046,3.391353,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,09:56,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Santa Anita - La Selva,17,-76.540515,3.401786,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,18:50,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,La Flora,02,-76.521835,3.48738,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,15:46,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Los Comuneros I,15,-76.492501,3.41616,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,15:14,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Urbanización Calimio,06,-76.483176,3.487219,SIN INFORMACION,2023,enero     ,3,1/3/2023,3,15:30,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Los Comuneros II,13,-76.492424,3.426265,SIN INFORMACION,2023,enero     ,4,1/4/2023,4,03:30,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Aguablanca,11,-76.51886,3.42912,SIN INFORMACION,2023,enero     ,4,1/4/2023,4,12:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Los Comuneros I,15,-76.492943,3.414429,DOMICILIO,2023,enero     ,4,1/4/2023,4,07:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,El Ingenio,17,-76.53122,3.383574,SIN INFORMACION,2023,enero     ,4,1/4/2023,4,13:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Base Aérea,07,-76.501976,3.453338,SIN INFORMACION,2023,enero     ,4,1/4/2023,4,05:19,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Rural,Rural,-76.565224,3.404547,SIN INFORMACION,2023,enero     ,5,1/5/2023,5,16:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Alfonso Lopez P. 3a Etapa,07,-76.485163,3.452118,SIN INFORMACION,2023,enero     ,6,1/6/2023,6,14:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Chiminangos I,05,-76.491562,3.477217,SIN INFORMACION,2023,enero     ,6,1/6/2023,6,00:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Ciudadela del Rio - CVC,21,-76.464744,3.426342,DOMICILIO,2023,enero     ,6,1/6/2023,6,08:19,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,San Pedro,03,-76.52985,3.45182,SIN INFORMACION,2023,enero     ,6,1/6/2023,6,10:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Belisario Caicedo,20,-76.55671,3.41615,SIN INFORMACION,2023,enero     ,7,1/7/2023,7,09:20,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,El Cedro,19,-76.53878,3.43439,EDIFICIO,2023,enero     ,7,1/7/2023,7,00:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Lili,17,-76.522123,3.378878,DOMICILIO,2023,enero     ,8,1/8/2023,1,02:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Doce de Octubre,12,-76.502529,3.429447,SIN INFORMACION,2023,enero     ,8,1/8/2023,1,17:15,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Mariano Ramos,16,-76.51523,3.401521,SIN INFORMACION,2023,enero     ,9,1/9/2023,2,12:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Junín,09,-76.52645,3.43402,SIN INFORMACION,2023,enero     ,9,1/9/2023,2,19:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Desepaz Invicali,21,-76.463987,3.429351,SIN INFORMACION,2023,enero     ,10,1/10/2023,3,07:00,DENUNCIA,Nivel 1
EXTORSION,EXTORSION. ART. 244 C.P.,CALI,Ciudad Talanga,21,-76.464575,3.435965,SIN INFORMACION,2023,enero     ,10,1/10/2023,3,22:00,DENUNCIA,Nivel 1
