id,x,y
1,720734.8301839201,875343.6444221298
2,720849.0258481948,875185.371386941
3,722094.5478197951,874096.826494093
4,722522.038967304,873967.3287982652
5,723554.7165256102,870009.5811265147
6,723567.7651620565,870305.3771621967
7,723426.44480173,870447.2119284524
8,723530.3136494122,873890.8107935449
9,723426.1274903133,874154.9949479765
10,723796.1655395016,866787.4798525039
11,723692.7092439961,869724.9151085834
12,723810.6138343351,869940.8635683461
13,723801.3112436171,870020.6398738474
14,723847.6085622646,870290.6513230272
15,723781.1080050428,870505.6734971073
16,723778.733478326,873597.2177483917
17,723664.4014874175,874098.0283794332
18,723844.4403162008,873953.589688648
19,723731.743762882,873942.186711334
20,724008.9466324174,865783.6479063892
21,724075.7842466256,866245.0720366184
22,724001.3947876517,866549.5725347031
23,724103.4992397878,866718.2286021425
24,723945.5759090546,866983.0101429761
25,724026.9202426636,866995.2346644977
26,723984.6246171445,867061.1078938689
27,723967.190181078,869730.1645047439
28,724080.6401465505,870056.2029154204
29,723922.0253383185,870181.2085157955
30,723978.6989827107,870421.7406396716
31,724071.2909848121,873736.0517658789
32,724067.5126549855,873893.6735407646
33,724099.001806732,873774.1024413017
34,723938.5106659564,874100.2473555314
35,724093.9886005316,874359.5074062361
36,724238.338374356,865393.8613519417
37,724254.3607295111,865667.0922580152
38,724334.3112272752,865819.328625247
39,724256.9337432018,866428.3061259349
40,724212.2286307701,866543.1736872136
41,724320.3420150797,866646.4309891675
42,724186.0417798624,866924.0402113172
43,724396.8899939144,867258.1941100264
44,724363.7520591603,867386.693712041
45,724324.0922600832,869789.9838703792
46,724210.5369760789,869935.2106536659
47,724157.6006041021,870138.7270322345
48,724267.266258888,870440.4525124204
49,724253.2450085502,870333.7061344374
50,724277.818674236,870343.7782648931
51,724194.6253144844,870684.2946828841
52,724176.4021529084,873963.1090352603
53,724235.8731515268,874410.5159714434
54,724692.5321992786,864949.6538363635
55,724713.9905231629,865238.1023366357
56,724477.2762459603,865434.8377930983
57,724644.7310207969,866282.8546648928
58,724582.5106996293,866654.5812939305
59,724639.3272623796,866768.4128077097
60,724677.7068520383,867201.2197360244
61,724622.6033216403,867411.8169532692
62,724441.952083961,867332.9953889902
63,724619.4099723966,867460.9455472832
64,724610.2533728854,869656.2927002029
65,724597.6961808063,869972.7072926823
66,724465.474743776,870082.6949847054
67,724520.5095099031,869901.47934413
68,724656.534221349,870131.2226287312
69,724527.3289856242,870475.8234220186
70,724481.8955597677,870613.9010729438
71,724512.0823614012,870558.2406442828
72,724703.0769650602,870504.0617629482
73,724504.589230841,870755.6019671721
74,724612.9048168528,870896.1599936807
75,724538.5694702592,871208.2784236503
76,724800.7536764567,865014.8613894827
77,724872.3046619905,865304.0104374283
78,724877.9926090653,865699.8657933461
79,724813.0398157665,866482.9152121497
80,724986.7685167084,867005.5087900358
81,724883.046591466,867575.5619289189
82,724883.8507892156,867858.4748367665
83,724960.3555310002,869933.0670205983
84,724831.676112207,870426.442027556
85,724830.9527175903,870632.3593968874
86,724870.1224593122,870940.9095620076
87,724825.0109892598,871118.6460707557
88,725123.9917300525,864950.520537846
89,725009.0280451543,865210.4147934642
90,725194.41732694,865430.7232724639
91,725188.5383041202,866962.4873480817
92,725157.7521353835,867272.31637121
93,725113.8317082559,867956.4456761548
94,725225.6174414803,870283.6507331607
95,725132.2520569923,870476.1257516844
96,725144.2126471582,870869.6388172727
97,725113.0692131795,874203.3927335338
98,725329.7183256749,865010.8838783558
99,725472.1550405716,865233.566851731
100,725350.4060156478,866573.7491301642
101,725425.4461147573,867483.9942644883
102,725360.8991398223,868464.0449297454
103,725387.2976346619,868950.7228541533
104,725385.5353141445,869170.8259351904
105,725310.829744124,869618.466129494
106,725476.8599203917,869538.0858357484
107,725422.9574796229,869567.7065886803
108,725379.2827342895,869865.3029443221
109,725406.1993987279,870054.8036868958
110,725436.5560551038,870474.498342348
111,725370.1380601021,870684.5026710968
112,725626.3065835792,865526.90458473
113,725758.4342946255,865828.119807792
114,725702.819616659,865738.0762030216
115,725603.204360395,865613.3674844867
116,725646.6364201963,865818.2530311448
117,725627.1663545584,866405.1468077805
118,725783.8706586388,866674.8834068843
119,725682.5076656755,866864.9801957438
120,725773.8502312842,867103.3006738028
121,725577.1001661788,867421.4466992094
122,725631.2545525488,867910.0766776159
123,725724.964328201,869855.5691166851
124,725607.7765271876,870369.8625118058
125,725602.8151119634,870607.0000412235
126,725760.1185397063,870819.3198948632
127,725596.053034527,870857.415138879
128,725576.2863148993,871276.2749481531
129,725706.1343302422,871654.7163677153
130,725604.7834557305,871814.1507346398
131,725734.6145551701,872159.1538193693
132,726007.0262948012,865625.1996514953
133,725924.1348620935,866045.939726589
134,725966.1106033706,867937.098009737
135,726002.8714036066,869517.1524906064
136,726047.1013534766,870192.2989266657
137,725971.7131390857,870422.4687019698
138,726073.2466219052,870663.6397414284
139,726093.3530037412,871057.0611448518
140,725962.0103808695,871313.3250484505
141,726055.6161499001,871513.7624377346
142,725920.2036498936,871640.8005487471
143,725983.4282025796,871669.4953986208
144,725885.2214236233,871924.2953582535
145,725880.193047053,871930.7736588198
146,725872.1501377848,873611.2216312111
147,725914.8484568133,873634.4227106207
148,726276.7751225719,864875.0122364857
149,726286.7136893728,865218.5143409683
150,726215.6099019672,867918.3663155768
151,726303.523057844,868885.3432842876
152,726225.0786770161,869253.0432227675
153,726246.8378540277,869502.0728113418
154,726306.674767962,869966.625326793
155,726158.324967204,870249.3226775423
156,726214.0208396738,870267.1604579015
157,726373.6590257677,870725.6276396489
158,726185.6110931806,871036.0006106935
159,726105.0724251869,871165.4832189557
160,726236.792022125,871719.0630378046
161,726147.3611455695,871963.4543763753
162,726330.7106611668,872134.140296002
163,726151.4525321844,872433.4654030924
164,726180.832036467,872762.7715936328
165,726135.9824993559,872868.3906210769
166,726239.8355951279,873004.953035212
167,726176.5611793211,873280.2626699372
168,726248.495945746,873688.3047585853
169,726201.6723322483,873727.2380543804
170,726288.0144439804,873865.9109271121
171,726436.0153389404,864932.4638059862
172,726477.8649969955,866551.4867454836
173,726377.3030842909,867705.3814152472
174,726535.6573215077,867905.1105190777
175,726626.0142633946,869223.186716802
176,726449.9225901451,869374.0431811544
177,726499.5945395563,870265.0412067764
178,726528.6671148257,870350.267170856
179,726511.8783012303,870880.3998219895
180,726537.7695474683,871041.3099253265
181,726530.0662641223,871388.8180544311
182,726413.2839730531,871835.6227780235
183,726396.7487442768,872268.1609244641
184,726408.9366199304,872506.1325468823
185,726516.7269521949,872861.458228774
186,726437.205853827,873127.119519782
187,726496.5800006822,873576.6223030449
188,726440.1546680339,873612.2414426272
189,726566.2757917432,874080.0791050417
190,726747.0806528936,869415.7428614649
191,726689.978714619,869848.4026350492
192,726875.1426123772,870359.3231308343
193,726746.8858940393,870561.307439546
194,726779.7906952499,871575.2929689268
195,726715.1335106748,871802.5706770478
196,726727.4690175856,871988.3343516662
197,726802.9771005599,872177.0216036455
198,726762.966918272,872214.0788060864
199,726880.5855013643,872445.9784327921
200,726910.1758743284,872643.4809688042
201,726885.963934877,872884.0814178197
202,726718.908844717,873005.7441498883
203,726833.0695321765,873281.6774555902
204,726697.0259583322,873496.9989907284
205,726806.0318715745,873872.0004242222
206,726854.3397504903,873777.1086209292
207,726715.813677274,873932.4237870193
208,726795.7994961961,874071.6936080401
209,726811.3689226179,874573.255436164
210,727128.5905261516,869376.8343792578
211,727141.5004506245,869683.304848029
212,726978.9590356053,869948.9339583546
213,727019.8279942567,870257.667020035
214,727005.9559493898,870783.1670945077
215,726996.7601149054,871132.737314649
216,727041.1690507042,872058.0559389645
217,727058.4116746588,872266.5638341958
218,726930.9516235116,872529.8866098651
219,727069.9767074367,872871.6638656245
220,727155.6839408317,872798.0144163131
221,727018.6777904561,872668.8747680865
222,726912.6084538599,873023.9285715678
223,727021.9658942067,873330.3480139499
224,727172.7515388974,873306.8082652806
225,727056.1146862104,873387.1475750069
226,727073.0552608469,873570.3862620215
227,727148.8568533962,873391.4198660217
228,727082.9651933372,873375.4352942508
229,726998.6041565292,873401.9703388192
230,727188.4234912769,873513.624151618
231,727094.2915153689,873456.0396013642
232,727038.2061054198,873558.6131292358
233,727138.6293708209,873434.5500789036
234,726984.1109888435,873451.0763339419
235,727053.0117902658,873406.5160450266
236,727160.5308361119,873540.4520236793
237,726985.4020393027,873781.6894025884
238,727121.8105837788,873616.3990675
239,726961.2888839807,873646.403974575
240,727003.8315803051,873838.6921712949
241,727033.2302879771,873629.7046308939
242,727203.3379798364,873707.3320907147
243,727015.9698312985,873856.129967274
244,726950.883472706,873745.6625783012
245,727179.724248275,873693.6680980277
246,727137.5182866411,874079.4232875905
247,727122.4358304124,873903.0420540951
248,727070.1543099278,874075.9621238919
249,727086.7930784783,874481.1852028815
250,726984.4596237488,874806.3695501254
251,727100.2242850115,874880.5134155568
252,726961.0129541608,878137.643367055
253,727254.0298770114,864380.591900022
254,727283.7562471981,866193.5793046913
255,727425.1911015359,868241.9823632364
256,727260.3764245787,868940.311480804
257,727324.9385033561,869941.4504315156
258,727278.0810863402,870237.4525548563
259,727231.3301456248,871930.4098465828
260,727361.9206724272,872076.5259913459
261,727452.7928509235,872406.1844080937
262,727291.431647807,872836.5368292711
263,727241.8230505158,873220.3298191857
264,727303.8401599694,873270.9815432099
265,727363.0424686607,873256.0544987082
266,727254.9498882719,873476.8762822336
267,727220.2874300703,873378.4549596363
268,727376.8088403546,873733.3944019333
269,727310.3931080275,873650.4076784294
270,727414.3962316501,873540.1097527739
271,727216.8149973195,873803.8916608279
272,727357.8639920792,873816.5843024766
273,727264.2829283596,873864.0745220135
274,727220.2990690875,873900.982751807
275,727337.0268092481,873969.6893573654
276,727379.0401579966,874201.0528459894
277,727407.492858141,874218.7427487471
278,727325.1650505731,874183.1780310271
279,727408.4748669527,874115.7019439021
280,727360.5704475429,874301.4452687444
281,727382.861182941,874690.6234092322
282,727309.8746805049,874900.6133378276
283,727322.3406584839,875030.8685738617
284,727225.3584300661,875304.6406805213
285,727232.6140747269,875446.0061680474
286,727331.5834150155,877758.9086542571
287,727612.8341376999,864439.4588490648
288,727520.2498420893,864715.0823121958
289,727575.1790864222,864747.3510951735
290,727714.5391274223,866422.1207435678
291,727520.4520771593,868186.0598542957
292,727686.0887626945,868565.9440137382
293,727752.5727655482,869130.3871459782
294,727715.2439121242,869333.5549867577
295,727542.0867607438,869515.9091859224
296,727540.9557400661,869836.2856620011
297,727668.577029465,870143.0043958084
298,727746.8443967623,870331.7969641386
299,727541.568021595,870719.2688659263
300,727742.5545614971,871070.86321117
301,727732.0280970571,871352.7053876523
302,727565.7458671419,871547.9497468749
303,727488.649403724,871837.7047290595
304,727565.065648673,871907.191149569
305,727689.6939669605,871893.6432427181
306,727607.1877193203,872045.3135735962
307,727615.7219201333,872378.3458653125
308,727649.4348855636,872661.7992552253
309,727644.9447308494,872891.1544350248
310,727715.7714869032,873090.2209809824
311,727696.629808223,873166.9942785914
312,727543.6409647252,873383.5927317555
313,727668.727055305,873620.1832419185
314,727749.5553139911,873449.3595893421
315,727669.149942912,873683.1687580431
316,727526.6080666352,873910.4685493506
317,727538.8395236518,873961.7451285102
318,727718.3294322777,874174.4550570429
319,727557.4869073076,874390.1309188737
320,727620.4314066202,874557.355327535
321,727532.933318297,874860.4719887975
322,727529.0123504647,876120.6313111678
323,727678.0336618427,876306.6911565564
324,727497.2725422452,876583.0093193904
325,727831.5758731706,864669.4182093627
326,727831.5454909459,864950.140011033
327,727764.8047691179,868114.3532607596
328,727829.9992841564,868216.1697075535
329,727935.5633165557,868856.8321415896
330,727925.2098655785,868936.2381930217
331,727882.9992690432,869346.325774202
332,727825.6631420774,869546.9041732337
333,727836.546879369,869704.6934291441
334,727864.0501136348,870115.0088664257
335,727932.7237691883,870169.645575303
336,727983.4878562597,870579.386867808
337,727882.5896594916,870708.0588877779
338,727799.4764358076,870940.6995533966
339,727876.6340536935,871444.6103069303
340,727808.7678471034,871804.476208248
341,727972.5169389776,872051.5384792163
342,727952.9219102289,872356.7713415212
343,727941.7111173545,872675.8704451988
344,727964.7613645312,872804.0650634187
345,727810.9395635109,873010.5948263354
346,727997.1495929776,873125.8163947529
347,727940.9747769722,873356.9024114164
348,728000.1569786351,873327.9275859497
349,727881.2122237206,873628.6214775112
350,727820.4186994521,873760.9400217261
351,727846.2884181059,873987.4756193623
352,727749.2979312061,874311.8329743095
353,727808.4580284093,874507.9969189243
354,727933.0966687453,874943.5029534751
355,727841.2598323665,875399.4735420885
356,727921.8122210957,876133.4327757759
357,727936.0225319677,876712.6936974685
358,727988.283641669,876996.4726367515
359,728224.9013092935,866298.325317027
360,728082.2386658767,868152.2995241971
361,728297.0842688665,868946.9434114575
362,728074.6340999954,869176.6057551771
363,728039.8769770416,869682.4943571682
364,728068.233932574,870379.4197980328
365,728280.3156985415,871173.304183486
366,728132.0515229284,871327.6314713843
367,728085.7072924318,871617.1187389106
368,728108.1196572348,871757.8642059703
369,728227.6914005734,872122.9758965333
370,728082.8687359188,871991.3040111606
371,728144.1762871586,872145.7522625139
372,728274.252632871,872022.9131307927
373,728311.1070039404,872271.2221645875
374,728039.1099494587,872297.3784350945
375,728080.8424433392,872259.1542277292
376,728146.0884927667,872560.7069190207
377,728176.9824457619,872693.7520244686
378,728285.8164451446,872955.2113960687
379,728213.2432693811,873135.6424186295
380,728175.1440877807,873491.9505318879
381,728320.9795119823,873737.4616346448
382,728156.9491936385,874095.8666447705
383,728264.87958968,874289.937333594
384,728155.811113632,874631.1791243381
385,728132.9593632863,874883.9592322595
386,728198.7742875968,875632.761173666
387,728229.9623394673,877181.6018311651
388,728064.5171154942,877292.549858461
389,728480.7359019294,864682.5280663165
390,728353.6101233643,864866.7075886205
391,728549.073753255,864978.7594734743
392,728345.0875856839,865303.6034472196
393,728399.2848361023,866129.6691946698
394,728534.3074800089,866436.5348353194
395,728354.8185601633,867831.902224716
396,728420.4568464593,868178.1835037355
397,728451.3104164865,869895.7647536024
398,728597.8043915766,870018.9339435326
399,728403.3532260268,870257.1929452636
400,728410.9243760497,870697.1757611817
401,728553.6449915359,871007.984782183
402,728311.3850801281,870980.9527902147
403,728517.4249918056,871307.6436918385
404,728366.9053840071,871544.5134968328
405,728384.7803357093,871737.9634062487
406,728453.3170469406,871966.5426698206
407,728365.2248131472,872294.9697881493
408,728329.9070737113,872405.9064987993
409,728345.8844859485,872639.611185126
410,728429.0989033419,873020.498091042
411,728469.0820215625,873042.7329631068
412,728463.4344287261,873464.746474664
413,728379.678474856,873686.6716649813
414,728508.0640838492,873867.4173100168
415,728555.3310637121,874632.6271255707
416,728386.13646834,874911.5725956893
417,728514.4369134465,875044.3859202581
418,728502.2026346187,875272.4401842961
419,728339.7360914238,875357.9794606281
