id,x,y
0,729499.2901638073,870112.4497088164
1,727754.6718143016,868781.026180307
2,727108.571735743,870112.9886469311
3,729127.8394274627,868077.6221992816
4,726797.4529803251,867907.2565995676
5,727780.089612132,870827.0123865547
6,726509.6651327309,869323.1086176834
7,728508.8496771527,870706.1571134076
8,729505.305324675,869021.8186805509
9,726164.7002833944,870140.5907176429
10,728528.4250066625,870040.1928285761
11,727923.4513807496,869594.0617687132
12,729803.7763047632,870878.2182561175
13,728201.8079410117,868140.3457247491
14,729597.9240258572,867654.382284966
15,729779.7616783397,868320.376536388
16,726743.0296526282,871031.8215767744
17,728875.6818928982,869092.2352154512
18,728771.3027356504,867590.4050192297
19,729109.256648227,871179.4795010026
20,727265.2891716794,868355.2109661961
21,726707.3246322251,868579.0692327409
22,727007.7751647051,869451.8168421463
23,728670.505120697,868526.7935646166
24,727612.7548642495,870135.4539165711
25,727598.2740416353,867627.7001069251
26,726637.2259708007,870062.8515600052
27,729442.1311529853,869512.7167397614
28,728165.2747180257,870298.9210325524
29,728578.8689574439,869686.64384336
30,728276.9374457657,871156.5879571548
31,726243.3628516656,870857.1280588671
32,726465.1922189815,868081.6164842672
33,728637.9742384369,870194.881473059
34,729249.2350060333,868605.8248655593
35,728004.4689298992,869193.3244554411
36,729765.9236361096,870039.2949681962
37,727624.2147884,868088.6516054567
38,726721.6706942819,870425.1890740544
39,728789.7670972943,869804.2050732016
40,729140.4549091147,870955.8923217021
41,726402.235914959,868822.7315337823
42,727158.975921927,870745.9028343786
43,727970.8853149902,870377.896361476
44,729114.0343394857,867551.3633460406
45,726447.854823687,869682.1756288634
46,729799.3419644808,869148.1727387769
47,726247.1337817289,870517.7738673491
48,726587.4167165637,867640.2495557489
49,728637.1925197892,870870.8211595744
50,729559.5689358015,870641.8851769471
51,727294.975231945,869203.2306020188
52,728023.5302712056,871038.8039405154
53,727815.2788285553,869068.0238268311
54,727257.0312071946,867790.5488465977
55,726492.1440053704,871145.1480709523
56,727435.7482924194,868524.9452443979
57,727861.1919838098,869928.4045245785
58,727600.7055929569,869961.9328540476
59,726278.451288296,869464.7135261942
60,727948.9458683,868284.1169988009
61,728647.7799996372,868278.3347820418
62,729014.851389765,870305.0637221803
63,728332.325825935,867566.2383937782
64,728571.3791988578,869161.9458929753
65,729781.7668883833,871007.1712685665
66,729854.6497357101,870592.8104917507
67,729358.0087032506,869005.7281331521
68,729781.6142747075,869465.4593599674
69,726386.7355279729,868496.6570338578
70,729809.5322660642,867630.2410050837
71,729815.6022745575,870331.4748250989
72,726530.6043865714,870914.9560217832
73,729423.4179297778,867900.3103936772
74,729247.7370536478,868329.2167114107
75,726267.9249670007,867885.8039234185
76,729379.5456047176,867667.8636600417
77,729692.2198537353,868103.3975382185
78,727835.0526275247,867916.1661657947
79,727250.0429889176,870289.9716089225
80,727403.075507897,871020.7077515943
81,726743.0743809575,868860.6626552448
82,727740.6621266103,871012.5333926308
83,729607.2305909825,868827.7380575682
84,728242.7959514597,867840.6946511827
85,728221.3003742921,869463.147712639
86,727327.5564482115,868797.3238250772
87,728520.7484890344,870883.5851579044
88,728124.2296264559,870615.5284900647
89,728606.1130332726,867684.4754111436
90,728005.2746299162,868945.3307953086
91,729281.0751116058,869702.8140956538
92,727025.1919447958,869199.0899686734
93,729387.3459494746,871072.9357827036
94,729695.2612035363,868536.4680181945
95,729726.9105948952,867807.3059743231
96,728581.2090900796,871131.0522391761
97,727096.4552402233,868486.9227533516
98,727798.8553169362,870416.5731098932
99,728887.309462478,869359.3438304608
100,729133.1035610216,868786.6576919851
101,726432.9075530581,867760.5430059519
102,728578.3991549184,870390.738301265
103,729852.2803034761,868052.4693039319
104,726230.5538276751,870239.032804338
105,728162.2453438888,868409.5641162053
106,726966.142840198,870558.9378748806
107,728582.2173957312,867396.3817662766
108,729492.5518282794,867417.7720871805
109,727021.6102724313,870994.0087374465
110,729292.6843412064,868056.4623616078
111,728909.7672714257,867560.0349022916
112,728016.1602021372,869760.1354212512
113,729070.8128277562,868537.7003351754
114,727469.3403678256,867971.6700576516
115,729492.6734089784,869148.4134172822
116,729037.1975912374,867722.83221321
117,727245.8066066019,869961.6858135193
118,729002.4050467459,870726.9587562194
119,728876.7536097158,868315.2238566475
120,727657.8409544644,869567.4347933417
121,728580.6022617032,869868.37491066
122,728880.3173961461,870325.3938062596
123,726323.6632983098,869261.9266957171
124,727200.230610926,869429.639929872
125,729648.063609883,871046.2889252049
126,726871.7979175255,869931.5077547049
127,726547.9872773062,869039.492933212
128,727536.9238605364,870863.5428549302
129,728105.4803636933,871188.4214011343
130,728722.8836711895,869588.287059103
131,729660.0641117825,869626.8665534125
132,728622.8788848466,868904.5291308564
133,726703.4588883846,870226.6788629225
134,728899.240367728,869687.0388143574
135,729308.4585973263,870823.952082615
136,729814.9229460914,868995.880555034
137,727678.388026045,869028.6755309445
138,726440.1867304723,870430.914125839
139,726986.7973821422,869602.7399777225
140,727628.3354625271,867851.0460838682
141,726238.8575993066,871076.2623684071
142,729891.0252817356,868432.6901036835
143,727723.2386259049,869248.8387512763
144,726635.6434899117,868045.149512786
145,726553.0313879156,869500.0591864656
146,728657.7444298351,868443.2359806364
147,729663.721528445,868212.053533069
148,727462.0430798942,870092.324352981
149,729008.1867646647,871076.7055782559
150,728439.4754912843,870187.5835381798
151,727600.0666297446,868463.276140909
152,727852.3440996548,869775.551469826
153,729563.364070023,867802.7364897128
154,726127.5471161756,869617.2979014853
155,727412.4982674923,870448.7327081321
156,727382.4737455924,867656.7839393677
157,728826.8343210005,870126.0635341458
158,727915.8788497327,870938.5237866999
159,726292.0193782226,868106.9437221506
160,728707.2836661093,868161.3884762096
161,728398.6762087314,867990.4740706624
162,728838.031197329,867756.1331764348
163,728677.8750907852,869162.3635590432
164,729725.0086625858,869956.6240658566
165,729533.4531458598,869711.0551329426
166,726757.2753895817,867653.0056733532
167,727705.2566715105,870569.5476108863
168,726811.6752268553,868710.6519923081
169,729643.6328631261,870729.0053856391
170,727749.9754083299,869988.2318832839
171,728869.6881542864,869906.831175624
172,727566.8292609396,869791.8947939951
173,728181.2128691268,869117.4139141068
174,726521.9487090067,867902.2048487888
175,729413.1100231219,870227.839061744
176,726502.9308230493,868863.4379122898
177,726195.4252951533,868642.0459420155
178,729217.115449473,869375.0373107018
179,727801.8010310801,871130.2446033917
180,727320.2214727656,870861.6187595269
181,726348.5056176652,867546.4013041173
182,728528.5925100856,868416.8076618756
183,728769.2141714933,870765.0902588577
184,728054.817924548,869439.7179562846
185,728096.6764812083,867798.612482243
186,727382.6679820046,868410.8659340601
187,726239.37905859,868842.2021668272
188,729648.071577401,868348.0792618743
189,729630.0248712606,869178.0593195469
190,726267.7818735635,870019.133938872
191,729635.7596443616,870120.677078863
192,729881.1470104747,870206.8747571026
193,726799.9494701248,870878.0651408909
194,729930.8937556142,870769.0983120138
195,728499.4746993759,871006.4689939198
196,726200.075411852,870329.9590822819
197,727482.4185397546,869004.880786842
198,726075.0013905596,870472.8625757566
199,726563.4331665112,870359.6599935099
200,727212.1897720506,870591.0558515325
201,728277.4336788248,870864.1229666529
202,727333.3226963546,868486.6232379939
203,727107.1304281226,868682.2056859345
204,727135.7185474101,869680.3581349502
205,726124.7248605107,869262.2404508914
206,726324.2298220141,869591.1837698116
207,729202.5653394989,868460.2396072347
208,729368.817824805,868812.1913831854
209,729366.4578166939,871154.076034673
210,727312.4245609952,868001.112226808
211,728759.0140964366,870404.1325559502
212,726912.2258432467,869258.5082426612
213,727001.3074122851,868389.3343100713
214,728465.4200841318,867538.9557697105
215,728447.3370459208,868620.8581809484
216,728909.7185193875,868584.0886632036
217,726478.4210350104,870739.8173427202
218,726604.2052631022,869925.9939914981
219,727794.4957846573,868881.57345199
220,727520.4273692248,870690.4634948005
221,728759.9675551155,867387.3840389943
222,727955.7282182577,868478.1862944638
223,727808.25011846,867582.2949607376
224,727911.6331928722,870226.6217062061
225,727788.4297571478,868203.552832193
226,727141.1295783824,869226.8338474298
227,729271.6095633474,871117.1501359143
228,729006.0606674574,870868.4754760808
229,726962.2217635416,870050.6875703478
230,728255.0425928761,868227.1147623885
231,729876.4808393782,868245.8064008243
232,728692.6028974191,870760.8612873713
233,729282.8927181124,869536.1705330655
234,728198.5942225253,870487.9048179769
235,726900.6733652356,870287.4413755884
236,726684.923667313,867784.8017784156
237,727282.0667061061,868564.1362905211
238,727752.7533073942,869475.8093438859
239,726486.0683548554,868728.463492947
240,729364.471892548,867410.5876527365
241,726768.064806859,870037.0368412762
242,728535.3824402042,869277.9261309578
243,726383.9441746207,869424.2787941634
244,726746.735727789,871182.2837112572
245,729417.2902602624,868146.890321378
246,728722.7413645033,869327.6300989975
247,726451.5609817117,870980.053544678
248,729015.0864281469,868036.6297361918
249,729441.0248280508,868952.59003589
250,728693.3035433916,869709.087587053
251,727931.9905261477,870534.3284838808
252,728100.9612208043,868276.9914692645
253,728679.4705202696,870076.6311413345
254,728679.7822076728,871116.5806616424
255,729614.645412853,867561.7829840104
256,726536.8667245021,867494.888212631
257,727817.9357369593,869183.1322435726
258,728660.1974231648,869810.7761328273
259,727314.8080992537,870105.3822574507
260,727336.8445146822,870584.5097935349
261,728783.6888792631,868601.5653216706
262,728405.4034832498,871104.0689893736
263,729514.2956383722,870351.7364559862
264,729744.4035132261,867513.8041959764
265,729824.3758797772,869818.2911126096
266,726380.1906259455,871102.4181545696
267,729339.6060711314,870108.7555945334
268,729196.2370115514,868182.4825338667
269,729760.8775909243,870729.904487296
270,728952.7210360281,867501.6880097896
271,729035.7360887938,867501.9321638013
272,729787.0650043102,868228.9016291179
273,728374.2903081228,868137.4368222302
274,728727.0203093124,870984.2938737433
275,729542.6392242892,869409.478268931
276,728702.686860925,868344.532156447
277,729589.1281866978,868411.3426682131
278,727008.3913350186,870832.5767190544
279,727809.338420543,867827.4256003031
280,728843.7397830316,869269.2351846639
281,727207.3804647201,870385.6221910499
282,728497.5278943807,870283.2211701922
283,728001.1117434605,869924.5014151466
284,727682.6185085516,870954.639288661
285,729602.445613376,870885.688729604
286,729745.0855301308,870264.9206718713
287,728023.9904924324,867969.5027652635
288,729415.3754968026,869925.5666676293
289,728767.3339059622,869168.2749980242
290,727744.7067936254,869768.4364217634
291,727749.9631375517,868495.4467015526
292,729829.5555741863,871113.4339393693
293,727214.4011247958,870926.1762209217
294,727330.2803845104,868633.3811476671
295,726369.376842968,870884.4908752602
296,728991.2117656302,869107.1734041991
297,726335.9236218154,870138.2944986896
298,728119.783248264,870403.0623297603
299,726577.7189699763,870446.4017492266
300,727767.12166146,869672.5503678587
301,726875.0417473357,869545.1562602699
302,728062.9154524883,869561.2780090902
303,726573.2675688849,869665.3461109779
304,728753.5531751243,869084.2255354401
305,727277.6016680069,867858.5977245566
306,729636.9112867495,869024.8212250525
307,728467.8074185909,867862.7290026492
308,726354.3962153413,870315.4266203307
309,727856.9343527918,868711.0666591045
310,727024.8797893968,869348.1410102248
311,729466.8877206766,867753.2584985832
312,729223.7406131387,870762.6410505209
313,729043.4463644694,869757.1468586283
