x,y,z
5296.522138073563,7063.561215082349,30.0
5294.69472510587,1002.2953331126305,30.0
1019.3708992759812,5271.968948273311,30.0
8801.549074265457,5249.905314320688,30.0
891.8870988788517,9103.738165183886,30.0
940.0731308883373,1014.6433836594802,30.0
4051.7972147646233,2738.762663371629,30.0
8948.695906152518,9081.697164206176,30.0
9062.388036496108,981.9290370468038,30.0
5202.297712599851,4780.578336611243,30.0
4620.046443067878,9004.607477012614,30.0
3109.6179798928224,4544.802751751031,30.0
9014.510195665203,7133.653634920445,30.0
6600.6811499537835,3350.388111937181,30.0
3198.856442743365,6647.975612017399,30.0
1241.5465375315748,3137.38716169248,30.0
6810.565676630039,8722.853017832162,30.0
2981.3175884608645,1089.8647678433908,30.0
1056.326282164678,7335.998620441621,30.0
6958.404366875187,6099.410200566938,30.0
8816.569746296542,3233.4315739424856,30.0
2803.335638968984,8912.114479927503,30.0
7235.924821978035,1093.443534955437,30.0
