x,y,z
7461.457931990373,4922.162564187805,1.2
5589.594693463266,8763.221962858403,1.2
5203.2247307208845,1686.6903745030136,1.2
8599.863302789876,1681.2457506651763,1.2
1599.0228294571705,1248.246929437453,1.2
1569.0674812410616,8445.442806717278,1.2
4006.9562823878414,6148.319433317092,1.2
1364.1617550647322,4601.88274634477,1.2
8753.246341033571,7799.214757828283,1.2
8040.375915161731,2245.6232368693377,1.2
2464.578924523403,2039.1094799653215,1.2
1897.2276158717443,7756.481170687803,1.2
4982.87239680792,5726.9836243220025,1.2
7925.163716084453,7977.786256014316,1.2
2673.8103187987476,7822.154871714068,1.2
2457.397716136436,2272.544004406926,1.2
7864.457976186161,7490.199843291602,1.2
7421.637555987665,2498.367574909236,1.2
8774.223974449229,5139.477339693956,1.2
8160.696051067838,1255.1152188443127,1.2
4399.3856302098075,1732.1782955964204,1.2
1469.5086310380123,8502.451148362221,1.2
1131.0352606725185,4187.366340640169,1.2
4924.365904468605,8332.812117620897,1.2
5972.213730743066,4127.379265117443,1.2
8437.184027935924,8501.53594202966,1.2
3400.1453016947507,6235.477605279393,1.2
1513.7467788500253,1201.1574407513463,1.2
4432.826233265581,1552.0633694979913,1.2
1327.4749595115165,8719.771726301773,1.2
6999.398690118368,3594.969826591862,1.2
8645.526771962781,1726.2405676296025,1.2
1222.1800554158747,5356.507563505144,1.2
4432.012539595807,5165.17498394663,1.2
8381.499556536348,5952.287986929119,1.2
8363.34102229028,8465.4444468466,1.2
4716.027231429324,8772.981543364738,1.2
1270.1235006966426,1545.647492785313,1.2
8814.516776047227,4433.878002752174,1.2
4565.637739304075,1705.065187295124,1.2
5037.458596701276,8177.888527842312,1.2
5649.401579853173,4775.958497908955,1.2
8172.175837331074,1291.544173819162,1.2
1776.3721195300436,8343.268574277248,1.2
1305.6044835585324,1604.6830164644311,1.2
8466.860824294474,8656.012573154512,1.2
2004.3891976415593,5167.434753215331,1.2
4544.697878503975,5079.71845288525,1.2
2147.6722563815315,1909.821287706746,1.2
7936.927167876561,1975.0674591764619,1.2
7943.718826803455,7747.365579977701,1.2
2318.6343042456797,7983.438995732736,1.2
2249.082410978873,7643.887423239032,1.2
7520.51767315705,7383.942650083438,1.2
7635.423653768522,2294.6513298083914,1.2
2451.951995625741,2810.4125304270087,1.2
1953.4914264977933,1584.8665253474605,1.2
5101.185240729314,7963.915887612142,1.2
1308.4255636673079,5338.003678370394,1.2
4484.081353755485,4128.384567146852,1.2
8479.421099430629,2358.5456173134894,1.2
5784.266206281674,1309.6673275560483,1.2
1849.0527216678863,8694.573182456501,1.2
8818.469628062941,8790.378717252665,1.2
7828.172501976726,6151.671345929074,1.2
6235.4426900048065,6613.264972046718,1.2
4783.312682727423,923.7061388292342,1.2
4563.2144967553395,8517.140213193956,1.2
4548.970234860304,3285.3323012079786,1.2
8639.547785934146,1655.9518528897313,1.2
8593.033886489367,8689.551059593812,1.2
1646.5618498721844,5073.371127737688,1.2
1288.8877041548305,1882.8678400463546,1.2
1171.9466104657781,8385.099827829838,1.2
8518.898019563494,4736.574475721768,1.2
2271.845535312617,2608.5441702738012,1.2
7570.827508389761,2518.8032981087813,1.2
7712.091175560669,7489.555483321825,1.2
2764.722720865348,7760.976428741718,1.2
5287.323158699759,8623.789975925045,1.2
5725.599307131982,5514.963523441641,1.2
2205.6991600715496,4801.209986123509,1.2
8660.645953221718,7424.122645627061,1.2
5912.9587351234795,1534.48034148854,1.2
1686.374038715043,8390.585606535327,1.2
8535.795789236687,2436.586159263731,1.2
2303.8014783451945,1680.8365328086263,1.2
8323.12842186169,1250.3234134170607,1.2
1905.338498028974,1497.753950287435,1.2
6768.765069379502,4096.99438152411,1.2
8876.556539858535,6777.839051548054,1.2
1520.9386477697185,8872.963911778104,1.2
3806.1766950556803,7214.687100330045,1.2
4642.632227625202,1935.490627266244,1.2
6784.599310851307,8842.013107492283,1.2
1448.1413395591867,4776.794277210015,1.2
1612.2111732884848,1634.0189184762444,1.2
8505.710539907792,8422.891631875964,1.2
8388.988427349914,5042.48416502736,1.2
5178.595770660988,8614.954084228595,1.2
1712.5593257748544,5233.283456324371,1.2
4659.016762910279,2144.468939652328,1.2
5504.609051403954,5392.255066444209,1.2
1651.8107315662198,8471.98176218185,1.2
8104.488338022268,1568.7803209131891,1.2
1862.5499073428416,1269.8351642455325,1.2
5811.481391471978,1666.350351961883,1.2
1441.7628481706304,5069.427094626092,1.2
8475.477918197683,8691.77751900548,1.2
8159.937139174393,5701.0518819154495,1.2
4330.38380537458,4861.619724643996,1.2
4816.99053967706,8625.154505123852,1.2
8834.633266208655,2400.169590215896,1.2
1676.8599918955981,8330.78114174652,1.2
8561.119790476007,8375.834364576367,1.2
1858.0332084477132,1433.4281196577115,1.2
4791.842653757098,5146.03638551284,1.2
1560.0263451918067,4777.198201967991,1.2
1464.7168310602162,8659.154216086217,1.2
8062.921943099858,5327.933179870265,1.2
8419.0653028405,1744.3105103250252,1.2
4757.667863053642,8598.730679470711,1.2
4854.080756725273,1477.2669388337492,1.2
4987.800918981464,4208.867258854378,1.2
3731.612706112142,8762.951825603808,1.2
1391.7234503014322,1585.2338066834984,1.2
8718.807304577942,1450.2117488582992,1.2
2009.1260550238417,4773.151849622525,1.2
1199.193434612867,7755.460998517635,1.2
5301.142348147567,1372.6313701151275,1.2
8725.949407073207,8579.727365319482,1.2
8524.887376735254,4374.483898767911,1.2
6114.8004466527145,7428.313536879677,1.2
8262.577677506744,7887.418289189716,1.2
7898.826249074372,1705.1139964328058,1.2
